category,pixel_auroc,pixel_average_precision,pixel_f1_oracle,pixel_threshold_oracle,aupro_0.30,mask_iou_oracle,dice_oracle,pixel_threshold_train_normal,mask_iou_train_normal,dice_train_normal,pixel_metric_storage
transistor1,0.98849375,0.31806567,0.34442001,0.39550781,0.93795370,0.20803586,0.34442001,0.27705190,0.05702637,0.10789962,exact_over_saved_float16_maps_streaming
plastic_nut,0.98239514,0.15811670,0.24321623,0.39233398,0.91537011,0.13844403,0.24321623,0.26344001,0.01933173,0.03793021,exact_over_saved_float16_maps_streaming
pcb,0.98470100,0.30488933,0.40297782,0.34838867,0.88625836,0.25233076,0.40297782,0.28845158,0.07841299,0.14542293,exact_over_saved_float16_maps_streaming
terminalblock,0.97518654,0.20376137,0.28492986,0.37060547,0.87206997,0.16613306,0.28492986,0.26231074,0.01667975,0.03281219,exact_over_saved_float16_maps_streaming
